class,feature_name,raw_feature_name,feature_type,mean_abs_shap
ham,emailtoken,tfidf__emailtoken,tfidf,0.004451628876377194
ham,wish,tfidf__wish,tfidf,0.004450732364293982
ham,trying,tfidf__trying,tfidf,0.004446147898296668
ham,texts,tfidf__texts,tfidf,0.004428327278054751
ham,hi,tfidf__hi,tfidf,0.0043961602338302265
ham,nite,tfidf__nite,tfidf,0.004391050396342941
ham,okie,tfidf__okie,tfidf,0.004389044975818003
ham,princess,tfidf__princess,tfidf,0.004355561911234176
ham,word,tfidf__word,tfidf,0.004354956215676053
ham,order,tfidf__order,tfidf,0.004348584977971443
ham,cs,tfidf__cs,tfidf,0.004300314336688326
ham,make,tfidf__make,tfidf,0.004294765869327668
ham,flights,tfidf__flights,tfidf,0.004286506383285958
ham,ask,tfidf__ask,tfidf,0.004276471499224977
ham,info,tfidf__info,tfidf,0.004275306142663197
ham,draw,tfidf__draw,tfidf,0.0042543756156813856
ham,vouchers,tfidf__vouchers,tfidf,0.00422625998701553
ham,apply,tfidf__apply,tfidf,0.004190485033530165
ham,people,tfidf__people,tfidf,0.004168792441012913
ham,food,tfidf__food,tfidf,0.004120615471248634
ham,girls,tfidf__girls,tfidf,0.004055806236743692
ham,services,tfidf__services,tfidf,0.00398259803467528
ham,life,tfidf__life,tfidf,0.003951645133758967
ham,300,tfidf__300,tfidf,0.003950854822913831
ham,08700621170150p,tfidf__08700621170150p,tfidf,0.0039413899949821765
ham,08700621170150p msg,tfidf__08700621170150p msg,tfidf,0.0039413899949821765
ham,netcollex,tfidf__netcollex,tfidf,0.0039413899949821765
ham,netcollex 08700621170150p,tfidf__netcollex 08700621170150p,tfidf,0.0039413899949821765
ham,specially,tfidf__specially,tfidf,0.0038607600629158123
ham,gift,tfidf__gift,tfidf,0.0038539022682922996
ham,link,tfidf__link,tfidf,0.0038272459010279944
ham,work,tfidf__work,tfidf,0.0037918034466362122
ham,activate,tfidf__activate,tfidf,0.0037766753379953923
ham,sms,tfidf__sms,tfidf,0.0036694030037251924
ham,haha,tfidf__haha,tfidf,0.0036688508924035248
ham,plan,tfidf__plan,tfidf,0.00362696430225157
ham,meant,tfidf__meant,tfidf,0.0036267247136419715
ham,worry,tfidf__worry,tfidf,0.003613009183645876
ham,sure,tfidf__sure,tfidf,0.003595604240820104
ham,god,tfidf__god,tfidf,0.0035906057510518754
ham,aight,tfidf__aight,tfidf,0.0035808468792566227
ham,night,tfidf__night,tfidf,0.003569824306666301
ham,feel,tfidf__feel,tfidf,0.0035535539366234503
ham,update,tfidf__update,tfidf,0.003526244642199692
ham,txt stop,tfidf__txt stop,tfidf,0.0034827438881270168
ham,ya,tfidf__ya,tfidf,0.0034684674503714062
ham,weekly,tfidf__weekly,tfidf,0.0034609048872498408
ham,til,tfidf__til,tfidf,0.0034370250923918383
ham,real,tfidf__real,tfidf,0.003407264826191484
ham,can't,tfidf__can't,tfidf,0.003394511066784961
ham,private,tfidf__private,tfidf,0.0033426229597376318
ham,really,tfidf__really,tfidf,0.003327895889412977
ham,wat,tfidf__wat,tfidf,0.0033210708854627476
ham,play,tfidf__play,tfidf,0.0032754714068575666
ham,86688,tfidf__86688,tfidf,0.003275341990298643
ham,00,tfidf__00,tfidf,0.0031933326593614423
ham,secure,tfidf__secure,tfidf,0.003185162084270612
ham,operator claim,tfidf__operator claim,tfidf,0.0031267119836566534
ham,station,tfidf__station,tfidf,0.003122907833162062
ham,sex,tfidf__sex,tfidf,0.0031225987158180774
ham,road,tfidf__road,tfidf,0.0031081176402269982
ham,pound,tfidf__pound,tfidf,0.003100699953107694
ham,missing,tfidf__missing,tfidf,0.0030398423416295698
ham,statement,tfidf__statement,tfidf,0.003026795715248306
ham,mob,tfidf__mob,tfidf,0.0030007515522673684
ham,cost,tfidf__cost,tfidf,0.0029915470548907007
ham,hey,tfidf__hey,tfidf,0.002966714185928215
ham,lol,tfidf__lol,tfidf,0.002942062374276761
ham,comin,tfidf__comin,tfidf,0.0029192601053269524
ham,game,tfidf__game,tfidf,0.002903756928664916
ham,having,tfidf__having,tfidf,0.0029011850600939677
ham,10p,tfidf__10p,tfidf,0.002900633679121564
ham,years,tfidf__years,tfidf,0.002899464672719521
ham,guess,tfidf__guess,tfidf,0.002885065767884848
ham,ladies,tfidf__ladies,tfidf,0.0028816347980661332
ham,worth,tfidf__worth,tfidf,0.0028712134992361672
ham,account statement,tfidf__account statement,tfidf,0.0028370171596752113
ham,send stop,tfidf__send stop,tfidf,0.0028352710346655637
ham,valid,tfidf__valid,tfidf,0.0028265369127116347
ham,thanks,tfidf__thanks,tfidf,0.002821814422975689
ham,network,tfidf__network,tfidf,0.0028187577595121627
ham,poly,tfidf__poly,tfidf,0.002814308050602772
ham,sexy,tfidf__sexy,tfidf,0.0028018917192725655
ham,probably,tfidf__probably,tfidf,0.0027930278835628375
ham,account,tfidf__account,tfidf,0.002773800275484089
ham,actually,tfidf__actually,tfidf,0.002766384460950914
ham,camera,tfidf__camera,tfidf,0.002755471799161384
ham,said,tfidf__said,tfidf,0.002748528758655152
ham,http,tfidf__http,tfidf,0.0027309879472903
ham,1000 cash,tfidf__1000 cash,tfidf,0.0026991872979370214
ham,possess,tfidf__possess,tfidf,0.0026800931481605235
ham,house,tfidf__house,tfidf,0.002675119909310671
ham,say,tfidf__say,tfidf,0.0026669613575827666
ham,looking,tfidf__looking,tfidf,0.0026661927034958713
ham,wait,tfidf__wait,tfidf,0.002653255574841008
ham,week just,tfidf__week just,tfidf,0.0026429543799936306
ham,great,tfidf__great,tfidf,0.0026416937658748168
ham,final,tfidf__final,tfidf,0.0026324679166812148
ham,click,tfidf__click,tfidf,0.002603302635920316
ham,rate,tfidf__rate,tfidf,0.0026014253426020137
ham,thats,tfidf__thats,tfidf,0.0025970572640237814
ham,free ringtone,tfidf__free ringtone,tfidf,0.002530451554155064
ham,finish,tfidf__finish,tfidf,0.002527756622626687
ham,10,tfidf__10,tfidf,0.002519032284660769
ham,today,tfidf__today,tfidf,0.0024873136456446654
ham,date,tfidf__date,tfidf,0.0024713634335089773
ham,important,tfidf__important,tfidf,0.002467659908898396
ham,tomorrow,tfidf__tomorrow,tfidf,0.0024592505589555204
ham,freemsg today's,tfidf__freemsg today's,tfidf,0.002433919540120922
