model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,ham_precision,ham_recall,ham_f1,spam_precision,spam_recall,spam_f1,smishing_precision,smishing_recall,smishing_f1,classification_report,confusion_matrix_csv,confusion_matrix_png
nb,0.9228843264897346,0.9226075491950052,0.9223399824079798,0.9221610951724651,0.9230795956152902,0.9228843264897346,0.9226724486043358,0.9706314243759178,0.9734904270986745,0.9720588235294118,0.9074960127591707,0.8647416413373861,0.8856031128404669,0.8896952104499274,0.9287878787878788,0.9088213491475167,results/classification_reports/nb_classification_report.csv,results/confusion_matrices/nb_confusion_matrix.csv,results/confusion_matrices/nb_confusion_matrix.png
svm,0.9639459188783175,0.9641557142209529,0.9635596082404594,0.9635332152166084,0.9643636292668296,0.9639459188783175,0.9638333086630771,0.9869186046511628,1.0,0.9934162399414777,0.9728,0.9240121580547113,0.9477786438035853,0.9327485380116959,0.9666666666666667,0.9494047619047619,results/classification_reports/svm_classification_report.csv,results/confusion_matrices/svm_confusion_matrix.csv,results/confusion_matrices/svm_confusion_matrix.png
mlr,0.943415122684026,0.943481903780519,0.942806484295846,0.942514439268633,0.943811480371134,0.943415122684026,0.9429890375986252,0.978386167146974,1.0,0.989075018208303,0.9459901800327333,0.878419452887538,0.9109535066981875,0.9060693641618497,0.95,0.9275147928994083,results/classification_reports/mlr_classification_report.csv,results/confusion_matrices/mlr_confusion_matrix.csv,results/confusion_matrices/mlr_confusion_matrix.png
